"Ticker","Nome","Negócios","Última (R$)","Variação"
"FRAS3","Fras-le","286.000","27,31","+0,96%"
"POMO3","Marcopolo","275.800","5,97","+1,02%"
"ABCB4","Banco ABC Brasil","268.600","21,04","+0,53%"
"BMGB4","Banco BMG","267.700","3,69","-0,54%"
"CSED3","Cruzeiro do Sul Educacional","265.600","5,17","-0,77%"
"MEAL3","IMC Alimentação","251.400","1,14","+0,00%"
"MELK3","Melnick","249.500","3,34","-1,18%"
"SANB4","Banco Santander","232.000","15,76","+4,79%"
"SANB3","Banco Santander","228.500","14,31","+4,99%"
"BRBI11","BR Partners","222.600","15,64","+2,36%"
"CMIG3","Cemig","218.300","14,99","-1,06%"
"TASA4","Taurus","216.700","7,25","+0,14%"
"VLID3","Valid","206.400","25,86","+2,05%"
"LEVE3","Mahle Metal Leve","202.600","30,25","+0,27%"
"BLAU3","Blau Farmacêutica","201.000","13,88","+0,07%"
"AMOB3","Automob","199.200","11,93","-1,16%"
"VITT3","Vittia","196.500","4,72","-0,63%"
"TECN3","Technos","194.400","6,88","+3,77%"
"PRNR3","Priner","192.600","15,55","-0,38%"
"ROMI3","Indústrias ROMI","190.400","9,21","+1,43%"
"FIQE3","Unifique","187.600","3,87","+0,26%"
"AMAR3","Lojas Marisa","183.900","1,40","+2,94%"
"BMOB3","Bemobi","182.200","19,80","-0,30%"
"TGMA3","Tegma","176.600","37,18","+1,97%"
"LOGG3","LOG CP","163.900","21,09","-1,54%"
"SAPR3","Sanepar","153.900","6,77","+1,50%"
"AERI3","Aeris Energy","151.100","4,17","+1,46%"
"RCSL3","Recrusul","148.200","2,68","+0,37%"
"OPCT3","OceanPact","144.400","6,18","-1,28%"
"ESPA3","Espaçolaser","132.300","1,01","-0,98%"
"AMBP3","Ambipar","125.100","164,99","-4,08%"
"GGBR3","Gerdau","119.600","15,22","-3,24%"
"LPSB3","Lopes","116.300","1,70","+3,66%"
"PFRM3","Profarma","109.200","8,70","+1,64%"
"ITSA3","Itaúsa","105.600","10,81","+1,03%"
"TAEE4","Taesa","104.300","11,38","+0,09%"
"DESK3","Desktop","102.000","9,56","-1,44%"
"UNIP6","Unipar","99.400","59,72","-1,24%"
"AALR3","Alliança","97.100","4,90","+4,26%"
"DEXP3","Dexxos","88.100","9,17","-1,50%"
"AGRO3","BrasilAgro","82.500","21,09","+1,05%"
"BIOM3","Biomm","74.800","8,00","-8,26%"
"VSTE3","LE LIS BLANC","64.500","6,07","+1,17%"
"RNEW4","Renova Energia","62.800","1,18","-1,67%"
"BRAP3","Bradespar","62.300","14,66","-0,88%"
"DMVF3","D1000 Varejo Farma","62.300","5,26","+2,14%"
"ALPK3","Estapar","58.600","3,38","+2,74%"
"EUCA4","Eucatex","54.500","19,08","+0,10%"
"TCSA3","Tecnisa","43.400","1,19","+0,85%"
"ETER3","Eternit","42.500","4,04","+0,00%"
"TRAD3","Traders Club","41.700","7,58","+3,84%"
"TAEE3","Taesa","41.400","11,22","-0,97%"
"RNEW3","Renova Energia","41.400","1,20","+0,00%"
"OIBR4","Oi","31.800","9,44","+3,62%"
"WHRL4","Whirlpool","31.600","5,08","+1,60%"
"LAND3","Terra Santa","29.600","11,07","-4,49%"
"EPAR3","Embpar Participações","26.500","4,85","+1,46%"
"FHER3","Fertilizantes Heringer","25.500","4,16","-2,12%"
"SCAR3","São Carlos","25.200","16,65","-0,95%"
"PTNT4","Pettenati","25.200","4,75","+0,21%"
"DOTZ3","Dotz","24.700","7,59","+5,42%"
"GOAU3","Metalúrgica Gerdau","23.200","9,18","-3,67%"
"SHOW3","Time For Fun","22.500","6,92","+7,45%"
"CAMB3","Cambuci","21.500","10,00","+0,40%"
"ELMD3","Eletromidia","21.200","31,40","-0,16%"
"AGXY3","AgroGalaxy","21.200","6,57","-0,15%"
"IGTI3","Jereissati Participações","20.400","2,60","-1,52%"
"IGTI3","Iguatemi","20.400","2,60","-1,52%"
"DTCY3","Dtcom","20.300","3,11","-22,25%"
"ALLD3","Allied","19.400","7,07","+0,14%"
"CGRA4","Grazziotin","18.900","29,00","+3,57%"
"LUPA3","Lupatech","18.900","1,19","+0,00%"
"CSUD3","CSU Cardsystem","18.500","17,97","+2,33%"
"WHRL3","Whirlpool","17.400","4,50","+0,00%"
"BMEB4","Banco Mercantil do Brasil","17.100","40,87","+6,27%"
"PDTC3","Padtec","15.200","1,18","+0,85%"
"ENGI4","Energisa","14.800","8,45","-1,52%"
"BRKM3","Braskem","14.300","11,12","-1,42%"
"INEP4","Inepar","11.300","1,67","+1,21%"
"LOGN3","Log-In","11.100","25,45","-0,16%"
"CGRA3","Grazziotin","11.000","29,00","+3,94%"
"EALT4","Electro Aço Altona","10.100","14,60","+0,07%"
"TPIS3","Triunfo","10.000","4,02","-1,23%"
"BEES3","Banestes","9.100","8,57","+0,35%"
"VIVR3","Viver","8.800","0,89","+1,14%"
"UCAS3","Unicasa","8.300","1,51","+0,67%"
"OFSA3","Ourofino Saúde Animal","8.200","24,15","-4,01%"
"FICT3","Fictor Alimentos","8.200","3,77","+1,62%"
"AVLL3","Alphaville","7.500","1,88","+1,62%"
"RPMG3","Refinaria de Manguinhos","6.800","2,92","-0,34%"
"NGRD3","Neogrid","6.700","26,53","+3,63%"
"ALUP4","Alupar","6.400","9,62","-0,52%"
"BOBR4","Bombril","6.300","1,56","-0,64%"
"PINE3","Banco Pine","6.200","5,33","+3,70%"
"ENGI3","Energisa","6.100","12,35","+1,81%"
"TASA3","Taurus","5.900","7,67","-0,52%"
"RAPT3","Randon","5.600","8,07","+0,88%"
"RDNI3","RNI","5.100","2,56","-5,54%"
"MNDL3","Mundial","4.700","19,19","-0,05%"
"CRPG5","Tronox Pigmentos","4.400","19,10","-2,05%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","4.200","1,83","-1,61%"
"CLSC4","Celesc","4.100","98,99","-0,90%"
"JOPA3","Josapar","3.900","20,12","-8,55%"
"BIED3","BIED3","3.900","4,99","+1,63%"
"REAG3","REAG3","3.800","3,99","-0,25%"
"BAZA3","Banco da Amazônia","3.200","69,54","-0,26%"
"UNIP3","Unipar","3.200","53,33","-2,15%"
"BPAC5","Banco BTG Pactual","3.000","8,97","+0,34%"
"BRSR3","Banrisul","2.900","12,54","+2,37%"
"EUCA3","Eucatex","2.700","21,15","-1,63%"
"EMAE4","EMAE","2.600","32,29","+0,91%"
"BGIP4","Banese","2.600","27,55","+0,00%"
"OSXB3","OSX Brasil","2.600","2,81","+0,72%"
"CEBR5","CEB","2.500","18,22","+0,11%"
"RSID3","Rossi Residencial","2.500","2,08","-0,48%"
"ISAE3","ISA Energia","2.300","31,57","+2,07%"
"CCTY3","RDVC CITY","2.300","22,50","-4,21%"
"ALUP3","Alupar","2.300","10,71","+1,23%"
"BEES4","Banestes","2.200","8,60","-0,23%"
"AZEV11","Azevedo & Travassos","2.100","0,15","+0,00%"
"COCE5","Coelce","2.000","25,90","+0,97%"
"LUXM4","Trevisa","2.000","5,31","-11,35%"
"INEP3","Inepar","2.000","2,31","+0,87%"
"BPAC3","Banco BTG Pactual","1.900","22,57","+1,53%"
"DEXP4","Dexxos","1.700","9,00","-0,22%"
"ALPA3","Alpargatas","1.700","8,98","+3,22%"
"WEST3","Westwing","1.600","4,23","-1,40%"
"NORD3","Nordon","1.400","7,35","+13,08%"
"JFEN3","João Fortes","1.400","1,92","+0,00%"
"EQPA3","Equatorial Energia Pará","1.300","5,67","-0,53%"
"NUTR3","Nutriplant","1.300","3,55","+1,43%"
"REDE3","Rede Energia","1.200","6,68","+0,75%"
"BDLL3","Bardella","1.100","9,00","+8,43%"
"ENMT3","Energisa MT","900","69,00","-2,82%"
"CPLE5","Copel","900","12,88","+0,23%"
"RNEW11","Renova Energia","900","3,56","-0,56%"
"HAGA3","Haga","900","1,96","-3,45%"
"CTKA4","Karsten","800","37,88","+3,78%"
"MNPR3","Minupar","800","24,19","+1,30%"
"CTSA4","Santanense","800","2,50","+8,23%"
"AMAR11","Lojas Marisa","800","0,25","+4,17%"
"SNSY5","Sansuy","700","4,22","-0,94%"
"HAGA4","Haga","700","1,23","+0,82%"
"CEBR6","CEB","600","21,12","-0,14%"
"CEBR3","CEB","600","18,70","+0,48%"
"EALT3","Electro Aço Altona","600","15,00","+1,42%"
"TELB3","Telebras","600","12,73","+0,08%"
"BDLL4","Bardella","600","8,20","+6,22%"
"GEPA4","Rio Paranapanema Energia","400","35,32","-0,93%"
"MRSA3B","MRS Logística","400","26,30","+0,15%"
"TELB4","Telebras","400","8,67","+1,64%"
"MAPT4","Cemepe","400","2,50","-0,40%"
"CGAS5","Comgás","200","126,84","+1,47%"
"BALM3","Baumer","200","19,90","+0,00%"
"BMKS3","Monark","197","410,00","+5,85%"
"MOAR3","Monteiro Aranha","100","148,00","-7,50%"
"RSUL4","Metalúrgica Riosulense","100","67,79","+1,18%"
"EKTR4","Elektro","100","48,12","-1,72%"
"MTSA4","Metisa","100","41,77","-0,05%"
"CEEB3","COELBA","100","37,81","+2,72%"
"PATI3","Panatlântica","100","33,13","+0,00%"
"WLMM4","WLM","100","28,06","-1,16%"
"MWET3","Wetzel","100","12,57","+0,56%"
"PPLA11","PPLA","42","1,10","-1,79%"
"HOOT4","Hotéis Othon","2.200","3,60","-3,23%"
"CEDO4","Cedro Têxtil","1.600","18,15","+3,12%"
"BSLI3","Banco de Brasília","1.300","7,82","+0,26%"
"MGEL4","Mangels","1.300","5,10","+0,99%"
"CRPG6","Tronox Pigmentos","1.000","20,05","-4,43%"
"AFLT3","Afluente T","1.000","6,75","-6,64%"
"GEPA3","Rio Paranapanema Energia","500","36,00","+9,59%"
"PLAS3","Plascar","400","5,75","-0,52%"
"DOHL4","Döhler","400","3,97","-0,25%"
"NEXP3","Brasil Brokers","300","3,75","-5,30%"
"PATI4","Panatlântica","200","33,00","+4,73%"
"EQMA3B","Equatorial Maranhão","200","26,99","+3,41%"
"BNBR3","Banco do Nordeste","100","94,51","-4,54%"
"TKNO4","Tekno","100","82,00","-0,12%"
"UNIP5","Unipar","100","59,50","-0,65%"
"SOND5","Sondotécnica","100","44,00","+10,00%"
"BMIN3","Banco Mercantil de Investimentos","100","20,00","+3,68%"
"BRSR5","Banrisul","100","14,61","-4,57%"
"PINE11","Banco Pine","100","8,25","+5,77%"
"BSLI4","Banco de Brasília","100","8,20","-0,61%"
"GSHP3","General Shopping & Outlets","100","5,00","+4,17%"
"BALM4","Baumer","1.300","15,95","-3,33%"
"SNSY3","Sansuy","500","11,00","+0,00%"
"RPAD5","Alfa Holdings","400","6,60","-8,33%"
"CEEB5","COELBA","200","45,99","+24,30%"
"BMEB3","Banco Mercantil do Brasil","100","32,50","+0,00%"
"MRSA5B","MRS Logística","100","25,93","-0,08%"
"MRSA6B","MRS Logística","100","25,50","-1,73%"
"MWET4","Wetzel","100","12,20","-6,08%"
"ESTR4","Estrela","100","3,70","-9,76%"
"JBSS3","JBS","94.413.600","39,03","+1,93%"
"JBSS3","JBS","94.413.600","39,03","+1,93%"
"COCE3","Coelce","400","25,80","-0,39%"
"WLMM3","WLM","100","24,25","-1,46%"
"PTNT3","Pettenati","100","9,16","+5,90%"
"RPAD3","Alfa Holdings","100","4,11","-1,44%"
"EKTR3","Elektro","1.100","35,00","-7,21%"
"CRPG3","Tronox Pigmentos","100","21,50","+0,00%"
"BMIN4","Banco Mercantil de Investimentos","100","16,63","-3,15%"
"FESA3","Ferbasa","100","12,33","+4,05%"
"BRKM6","Braskem","100","8,00","+0,00%"
"FIEI3","Fica","46.200","11,00","+0,00%"
"ATMP3","Atma","1.300","1,25","-3,10%"
"CLSC3","Celesc","600","89,00","+0,00%"
"PEAB4","Participações Aliança da Bahia","400","44,00","-2,27%"
"BAUH4","Excelsior","200","81,86","+0,00%"
"PSVM11","PORTO VM","200","5,07","+0,00%"
"CTSA3","Santanense","100","4,29","-0,23%"
"DOHL3","Döhler","400","6,51","+10,34%"
"SOND6","Sondotécnica","300","43,02","+0,05%"
"CTKA3","Karsten","100","41,79","+6,07%"
"HBTS5","Habitasul","100","30,00","+0,00%"
"MBLY3","Mobly","257.900","0,99","+1,02%"
"PEAB3","Participações Aliança da Bahia","1.200","41,00","+5,13%"
"CBEE3","Ampla Energia","100","8,49","-8,02%"
"CRFB3","Carrefour Brasil","14.427.600","8,48","+0,36%"
"USIM6","Usiminas","300","8,00","+0,00%"
"FRIO3","Metalfrio","100","279,98","+0,00%"
"CGAS3","Comgás","100","138,95","+7,30%"
"BGIP3","Banese","100","31,36","-2,00%"
